p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.01 0.01 0.1 21 1000000 1089538 999980 1089518 20901 21395 177594 399295 418135
0.01 0.01 0.1 21 1000000 1089864 999980 1089844 21190 21415 175212 399295 418313
0.01 0.01 0.1 21 1000000 1090371 999980 1090351 21003 20727 176103 399295 418529
0.01 0.01 0.1 21 1000000 1090259 999980 1090239 20198 20849 176891 399295 418597
0.01 0.01 0.1 21 1000000 1089150 999980 1089130 21159 21131 178187 399295 417829
0.01 0.05 0.01 21 1000000 959871 999980 959851 50041 248915 44104 399295 379803
0.01 0.05 0.01 21 1000000 959841 999980 959821 50349 248867 43991 399295 379907
0.01 0.05 0.01 21 1000000 960381 999980 960361 50700 248692 44946 399295 380281
0.01 0.05 0.01 21 1000000 959792 999980 959772 48585 250962 44793 399295 380017
0.01 0.05 0.01 21 1000000 960042 999980 960022 49992 249122 44044 399295 379782
0.01 0.05 0.05 21 1000000 999715 999980 999695 22677 116458 97891 399295 389657
0.01 0.05 0.05 21 1000000 999629 999980 999609 23311 115569 97478 399295 389841
0.01 0.05 0.05 21 1000000 1000474 999980 1000454 22957 113519 98876 399295 390041
0.01 0.05 0.05 21 1000000 999753 999980 999733 23262 115506 97823 399295 389526
0.01 0.05 0.05 21 1000000 999730 999980 999710 22815 114876 97878 399295 389702
0.01 0.05 0.1 21 1000000 1049307 999980 1049287 8766 46067 72559 399295 402072
0.01 0.05 0.1 21 1000000 1049842 999980 1049822 9123 45387 73661 399295 402313
0.01 0.05 0.1 21 1000000 1050569 999980 1050549 9049 44928 73175 399295 402650
0.01 0.05 0.1 21 1000000 1050187 999980 1050167 8624 44495 72839 399295 402564
0.01 0.05 0.1 21 1000000 1049304 999980 1049284 9156 45956 75300 399295 401966
0.01 0.1 0.01 21 1000000 909578 999980 909558 17276 165562 13798 399295 359628
0.01 0.1 0.01 21 1000000 909942 999980 909922 17023 168332 14022 399295 360134
0.01 0.1 0.01 21 1000000 910403 999980 910383 16959 166997 14065 399295 360339
0.01 0.1 0.01 21 1000000 909780 999980 909760 16376 164652 14346 399295 359853
0.01 0.1 0.01 21 1000000 910096 999980 910076 16828 166825 14482 399295 359679
