p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.02 0.03 594 1380 1600 9980 10047 21 570 0.002834239908388205 0.006584597766962496 0.008016032064128256
0.01 0.02 0.03 790 1162 1765 9980 10078 21 681 0.003769443649203168 0.00554442217768871 0.008842685370741484
0.01 0.02 0.03 735 1274 1763 9980 10082 21 682 0.0035070140280561123 0.006078824315297261 0.008832665330661323
0.01 0.02 0.03 583 1356 1571 9980 10064 21 583 0.0027817539841587936 0.006470083023189236 0.007870741482965932
0.01 0.02 0.03 618 1430 1828 9980 10055 21 578 0.002948754652161466 0.0068231701498234565 0.009158316633266533
0.01 0.02 0.03 652 1393 1566 9980 10094 21 605 0.0031109838725069186 0.006646626586506346 0.007845691382765531
0.01 0.02 0.04 431 1106 1794 9980 10188 21 577 0.0020564939402614754 0.005277221108884436 0.008987975951903808
0.01 0.02 0.04 556 1212 1637 9980 10187 21 561 0.0026529248974138755 0.0057829945605496706 0.008201402805611222
0.01 0.02 0.04 617 873 1920 9980 10203 21 633 0.0029439832045042467 0.004165473804752362 0.009619238476953907
0.01 0.02 0.04 500 932 2126 9980 10209 21 591 0.0023857238286096 0.004446989216528295 0.010651302605210421
0.01 0.02 0.04 386 944 2057 9980 10222 21 444 0.0018417787956866113 0.004504246588414925 0.01030561122244489
0.01 0.02 0.04 448 1100 2013 9980 10163 21 453 0.0021376085504342017 0.00524859242294112 0.010085170340681363
0.01 0.02 0.04 444 1051 2090 9980 10193 21 499 0.002118522759805325 0.005014791487737379 0.010470941883767536
0.01 0.02 0.04 521 1074 1654 9980 10172 21 631 0.002485924229411203 0.0051245347838534214 0.008286573146292586
0.01 0.02 0.04 351 1109 1729 9980 10163 21 412 0.0016747781276839394 0.005291535451856093 0.008662324649298597
0.01 0.02 0.04 510 982 1819 9980 10227 21 537 0.002433438305181792 0.004685561599389255 0.009113226452905812
0.01 0.02 0.04 447 1088 2013 9980 10177 21 470 0.0021328371027769825 0.00519133505105449 0.010085170340681363
0.01 0.02 0.04 520 1026 1827 9980 10158 21 604 0.002481152781753984 0.0048955052963069 0.009153306613226452
0.01 0.02 0.04 623 1070 1762 9980 10170 21 634 0.0029726118904475616 0.0051054489932245446 0.008827655310621242
